Título	Autor	Editora	Ano	ISBN	Idioma	Capa	Páginas	Altura (cm)	Largura (cm)	Peso (g)	Estante	Preço R$	Frete R$	Total R$	Fotos
Cidades Criativas: Soluções Inventivas	Ana Carla Fonseca Reis (org.)	Garimpo de Soluções	ND	ND	Português	Mole	340	21	14	630	Sociologia	10	14.85	24.85	https://wa.me/5511981350566?text=Oi! Quero fotos do Cidades Criativas: Soluções Inventivas, de Ana Carla Fonseca Reis (org.)
Ciência Horrível: Sangue, Ossos E Pedacinhos	Nick Arnold	Melhoramentos	2010	9788506026014	Português	Mole	160	21	14	256	Juvenil	10	10.00	20.00	https://wa.me/5511981350566?text=Oi! Quero fotos do Ciência Horrível: Sangue, Ossos E Pedacinhos, de Nick Arnold
Cinco Minutos; A Viuvinha; A Pata Da Gazela; Outros	José de Alencar	Formar	1971	ND	Português	Dura	342	22	15	652	Literatura Brasileira	10	15.40	25.40	https://wa.me/5511981350566?text=Oi! Quero fotos do Cinco Minutos; A Viuvinha; A Pata Da Gazela; Outros, de José de Alencar
Cinquenta Tons Mais Escuros	E L James	Intrínseca	2012	9788580572100	Português	Mole	512	23	16	726	Literatura Estrangeira	10	16.00	26.00	https://wa.me/5511981350566?text=Oi! Quero fotos do Cinquenta Tons Mais Escuros, de E L James
Classici #338	Disney	Disney	ND	ND	Italiano	Mole	242	18	12	184	HQs	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do Classici #338, de Disney
Códigos E Enigmas Da Felicidade	Jorge Proença	Edições Inteligentes	2009	9788576152323	Português	Mole	240	21	14	320	Autoajuda	10	10.65	20.65	https://wa.me/5511981350566?text=Oi! Quero fotos do Códigos E Enigmas Da Felicidade, de Jorge Proença
Coisas Frágeis: Breves Ficções E Maravilhas	Neil Gaiman	Intrínseca	2023	9786555603958	Português	Mole	336	23	16	480	Literatura Estrangeira	30	12.95	42.95	https://wa.me/5511981350566?text=Oi! Quero fotos do Coisas Frágeis: Breves Ficções E Maravilhas, de Neil Gaiman
Coisas Que Eu Queria Ser	Arthur Nestrovski; Maria Eugenia	Cosac & Naify	2003	9788575032169	Português	Dura	56	24	16	305	Infantil	15	10.65	25.65	https://wa.me/5511981350566?text=Oi! Quero fotos do Coisas Que Eu Queria Ser, de Arthur Nestrovski; Maria Eugenia
Coleção Cozinhas Da Itália Vol. 1: Toscana	Gold	Gold	2012	9788577684618	Português	Dura	56	23	22	400	Gastronomia	10	11.45	21.45	https://wa.me/5511981350566?text=Oi! Quero fotos do Coleção Cozinhas Da Itália Vol. 1: Toscana, de Gold
Coleção Cozinhas Da Itália Vol. 12: Adige	Gold	Gold	2012	9788577684731	Português	Dura	58	23	22	396	Gastronomia	10	11.45	21.45	https://wa.me/5511981350566?text=Oi! Quero fotos do Coleção Cozinhas Da Itália Vol. 12: Adige, de Gold
Coleção Cozinhas Da Itália Vol. 18: Marche	Gold	Gold	2012	9788577684601	Português	Dura	58	23	22	396	Gastronomia	10	11.45	21.45	https://wa.me/5511981350566?text=Oi! Quero fotos do Coleção Cozinhas Da Itália Vol. 18: Marche, de Gold
Com Vista Para O Kremlin	Vivian Oswald	Globo	2011	9788525048998	Português	Mole	368	21	14	486	Jornalismo	10	12.95	22.95	https://wa.me/5511981350566?text=Oi! Quero fotos do Com Vista Para O Kremlin, de Vivian Oswald
Começar De Novo	Leonardo Felder	Saraiva	1989	9788502005808	Português	Mole	238	21	14	300	Autoajuda	10	10.00	20.00	https://wa.me/5511981350566?text=Oi! Quero fotos do Começar De Novo, de Leonardo Felder
Comentários Sobre O Viver	Krishnamurti	Cultrix	1969	ND	Português	Mole	252	21	14	296	Autoajuda	10	10.00	20.00	https://wa.me/5511981350566?text=Oi! Quero fotos do Comentários Sobre O Viver, de Krishnamurti
Committed	Elizabeth Gilbert	Viking	2010	9780670021680	Inglês	Mole	286	23	15	410	Literatura Estrangeira	10	12.20	22.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Committed, de Elizabeth Gilbert
Como Conquistar Clientes E Mante-Los Para Sempre	Michael Leboeuf	Harbra	1996	9788529400358	Português	Mole	196	21	14	304	Autoajuda	10	10.65	20.65	https://wa.me/5511981350566?text=Oi! Quero fotos do Como Conquistar Clientes E Mante-Los Para Sempre, de Michael Leboeuf
Como Emagrecer Fazendo Sexo	Richard Smith	Ediouro	1992	9788500123849	Português	Mole	160	21	14	199	Autoajuda	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do Como Emagrecer Fazendo Sexo, de Richard Smith
Como Escrever Poemas	Wes Magee	Ciranda Cultural	2008	9788538002055	Português	Mole	32	26	21	181	Juvenil	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do Como Escrever Poemas, de Wes Magee
Como Fazer Os Juros Serem Mais Baixos No Brasil	Febraban	Febraban	2018	9788567416045	Português	Mole	164	23	16	485	Negócios	10	12.95	22.95	https://wa.me/5511981350566?text=Oi! Quero fotos do Como Fazer Os Juros Serem Mais Baixos No Brasil, de Febraban
Como Obter Sucesso Em Sala De Aula?	Tania Dias Queiroz; Marcia Maria Villanacci Braga	Rideel	2002	9788533905139	Português	Mole	190	21	14	290	Pedagogia	10	10.00	20.00	https://wa.me/5511981350566?text=Oi! Quero fotos do Como Obter Sucesso Em Sala De Aula?, de Tania Dias Queiroz; Marcia Maria Villanacci Braga
Como Vai O Planeta?	Quino	Lumen	2014	9788426401625	Espanhol	Dura	18	21	19	280	Juvenil	10	10.00	20.00	https://wa.me/5511981350566?text=Oi! Quero fotos do Como Vai O Planeta?, de Quino
Comportamento Organizacional	Stephen P. Robbins	Ctc	1999	9788521611516	Português	Mole	490	27	21	1261	Negócios	10	25.45	35.45	https://wa.me/5511981350566?text=Oi! Quero fotos do Comportamento Organizacional, de Stephen P. Robbins
Comunicação 2. Ed	Thais Alves	Riemma	2015	9788563642134	Português	Dura	216	19	14	360	Comunicação	10	11.45	21.45	https://wa.me/5511981350566?text=Oi! Quero fotos do Comunicação 2. Ed, de Thais Alves
Comunicação Verbal: Educação Vocal: O Teatro: Fonte De Apoio	Terezinha Nackéd Zaratin	Paulus	2011	9788534931427	Português	Mole	166	21	14	216	Comunicação	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Comunicação Verbal: Educação Vocal: O Teatro: Fonte De Apoio, de Terezinha Nackéd Zaratin
Comunicação, Opinião, Desenvolvimento	José Marques de Melo	Vozes	1979	ND	Português	Mole	84	21	14	125	Comunicação	10	7.80	17.80	https://wa.me/5511981350566?text=Oi! Quero fotos do Comunicação, Opinião, Desenvolvimento, de José Marques de Melo
Comunicações & Problemas Luiz Beltrão Parte I	Osvando J. de Morais (org.)	Intercom	2013	9788582080177	Português	Mole	488	23	16	768	Comunicação	10	16.65	26.65	https://wa.me/5511981350566?text=Oi! Quero fotos do Comunicações & Problemas Luiz Beltrão Parte I, de Osvando J. de Morais (org.)
Comunicações & Problemas Luiz Beltrão Parte II	Osvando J. de Morais	Intercom	2013	9788582080191	Português	Mole	466	23	16	744	Comunicação	40	16.00	56.00	https://wa.me/5511981350566?text=Oi! Quero fotos do Comunicações & Problemas Luiz Beltrão Parte II, de Osvando J. de Morais
Confidências	P. C. Vasconcelos Jr.	Spige	1978	ND	Português	Mole	200	16	14	255	Religião	10	10.00	20.00	https://wa.me/5511981350566?text=Oi! Quero fotos do Confidências, de P. C. Vasconcelos Jr.
Confissões De Um Pai Despreparado	Daniel Funes	Panda Books	2013	9788578882877	Português	Mole	128	21	14	187	Humor	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do Confissões De Um Pai Despreparado, de Daniel Funes
Conhecimento, Ética E Educação	Alexandre Ferracini; Outros	In House	2008	9788598354583	Português	Mole	124	21	14	223	Pedagogia	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Conhecimento, Ética E Educação, de Alexandre Ferracini; Outros
Conservadorismo	Roger Scruton	Record	2020	9788501114518	Português	Mole	154	23	16	266	Ciências Políticas	15	10.00	25.00	https://wa.me/5511981350566?text=Oi! Quero fotos do Conservadorismo, de Roger Scruton
Constelações Familiares: O Reconhecimento Das Ordens Do Amor	Bert Hellinger; Gabriele Ten Hovel	Cultrix	2001	9788531606731	Português	Mole	160	21	14	217	Religião	15	9.20	24.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Constelações Familiares: O Reconhecimento Das Ordens Do Amor, de Bert Hellinger; Gabriele Ten Hovel
Conto De Natal	Charles Dickens	LDA	1988	ND	Português	Mole	96	18	13	90	Literatura Estrangeira	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do Conto De Natal, de Charles Dickens
Contos	Oscar Wilde	LDA	1988	ND	Português	Mole	96	18	13	88	Contos	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do Contos, de Oscar Wilde
Contos	Machado de Assis	Objetivo	ND	ND	Português	Mole	120	21	14	157	Contos	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do Contos, de Machado de Assis
Contos & Patacoadas	Irineu Borges do Nascimento	In House	2011	9788578990541	Português	Mole	200	21	14	312	Contos	15	10.65	25.65	https://wa.me/5511981350566?text=Oi! Quero fotos do Contos & Patacoadas, de Irineu Borges do Nascimento
Contos Da Terra... Contos Da Garoa	Altair Oliveira; Outros	Voz do Cenáculo	ND	ND	Português	Mole	148	21	14	197	Contos	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do Contos Da Terra... Contos Da Garoa, de Altair Oliveira; Outros
Contos E Rimas Para Meninos E Meninas	Renata Cajado; Lia Nasser	Funcação Sticker	2005	9788599500026	Português	Dura	60	25	25	360	Infantil	15	11.45	26.45	https://wa.me/5511981350566?text=Oi! Quero fotos do Contos E Rimas Para Meninos E Meninas, de Renata Cajado; Lia Nasser
Contos Legais	William Bernhardt; Outros	Rocco	2003	9788532515148	Português	Mole	338	21	14	420	Contos	10	12.20	22.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Contos Legais, de William Bernhardt; Outros
Conversas No Consultório	Dr. José Soares Hungria Filho	Saraiva	1995	9788502015838	Português	Mole	470	23	16	680	Psicologia	10	15.40	25.40	https://wa.me/5511981350566?text=Oi! Quero fotos do Conversas No Consultório, de Dr. José Soares Hungria Filho
Convivendo Com O Ego Masculino No Ambiente De Trabalho	Sandra Grymes; Mary Stanton	José Olympio	1996	9788503005791	Português	Mole	202	21	14	282	Autoajuda	10	10.00	20.00	https://wa.me/5511981350566?text=Oi! Quero fotos do Convivendo Com O Ego Masculino No Ambiente De Trabalho, de Sandra Grymes; Mary Stanton
Conviver Com A Surdez	Barbara Taylor	Scipione	1994	9788526223745	Português	Mole	32	28	21	176	Pedagogia	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do Conviver Com A Surdez, de Barbara Taylor
Correio Sul - Voo Noturno	Antoine de Saint-Exupéry	Abril	1974	ND	Português	Mole	242	20	14	365	Literatura Estrangeira	10	11.45	21.45	https://wa.me/5511981350566?text=Oi! Quero fotos do Correio Sul - Voo Noturno, de Antoine de Saint-Exupéry
Corrupção: 18 Contos	Rodrigo Penteado	Ateliê	2002	9788574801414	Português	Mole	200	21	14	290	Contos	10	10.00	20.00	https://wa.me/5511981350566?text=Oi! Quero fotos do Corrupção: 18 Contos, de Rodrigo Penteado
Courage To Rise	Emma Grace	MORGAN JAMES	2019	9781642790030	Inglês	Mole	230	22	14	350	Autoajuda	10	10.65	20.65	https://wa.me/5511981350566?text=Oi! Quero fotos do Courage To Rise, de Emma Grace
Cozinha Do Mundo - Grécia - Vol. 5	Abril Coleções	Abril	2010	9788579710841	Português	Dura	172	22	18	483	Gastronomia	10	12.95	22.95	https://wa.me/5511981350566?text=Oi! Quero fotos do Cozinha Do Mundo - Grécia - Vol. 5, de Abril Coleções
Crescer É Perigoso	Marcia Kupstas	Moderna	1986	9788516000806	Português	Mole	104	21	14	151	Juvenil	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do Crescer É Perigoso, de Marcia Kupstas
Crime E Castigo - Vol 1	Fiódor, Dostoiévski	Abril	2010	9788562605956	Português	Dura	400	20	13	401	Literatura Estrangeira	30	12.20	42.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Crime E Castigo - Vol 1, de Fiódor, Dostoiévski
Crítica Da Razão Prática	Immanuel Kant	Folha de S. Paulo	2015	9788581932507	Português	Dura	240	24	16	495	Filosofia	15	12.95	27.95	https://wa.me/5511981350566?text=Oi! Quero fotos do Crítica Da Razão Prática, de Immanuel Kant
Crônicas Da Guerra	J. M. Pinheiro Neto	Saint Paul	2007	9788598838441	Português	Mole	156	23	16	308	História	10	10.65	20.65	https://wa.me/5511981350566?text=Oi! Quero fotos do Crônicas Da Guerra, de J. M. Pinheiro Neto
Crônicas De Miramar - Um Guia Para O Viajante Desavisado	Rafael Jadoski	Createspace	2014	9781495403811	Português	Mole	52	20	13	80	Literatura Brasileira	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do Crônicas De Miramar - Um Guia Para O Viajante Desavisado, de Rafael Jadoski
Crônicas Do Reino Do Portal: O Lago De Fogo	Simone O. Marques	Literata	2014	9788582700815	Português	Mole	436	23	16	690	Literatura Brasileira	10	15.40	25.40	https://wa.me/5511981350566?text=Oi! Quero fotos do Crônicas Do Reino Do Portal: O Lago De Fogo, de Simone O. Marques
Crônicas Florestais	Claudio Roberto Silva	Do Autor	ND	ND	Português	Mole	110	21	15	200	Literatura Brasileira	15	8.55	23.55	https://wa.me/5511981350566?text=Oi! Quero fotos do Crônicas Florestais, de Claudio Roberto Silva
Cultura Japonesa	Aliança Cultural Brasil-japão	Aliança Cultural Brasil-japão	ND	ND	Português	Mole	528	21	14	620	Turismo	10	14.85	24.85	https://wa.me/5511981350566?text=Oi! Quero fotos do Cultura Japonesa, de Aliança Cultural Brasil-japão
Cultura, Comunicação E Movimentos Sociais	Maria Nazareth Ferreira	Celacc	2007	9788572050647	Português	Mole	266	21	14	342	Sociologia	10	10.65	20.65	https://wa.me/5511981350566?text=Oi! Quero fotos do Cultura, Comunicação E Movimentos Sociais, de Maria Nazareth Ferreira
Curiosidades E Desafios De Uma Nova Mulher	Kátia Moratore	Catálise	2009	9788599151105	Português	Mole	200	21	14	275	Biografias	10	10.00	20.00	https://wa.me/5511981350566?text=Oi! Quero fotos do Curiosidades E Desafios De Uma Nova Mulher, de Kátia Moratore
Curso De Aperfeiçoamento - Ensino Teórico - Tomo IV	Educação Mediunica	FEESP	1982	ND	Português	Mole	100	21	14	146	Religião	10	7.80	17.80	https://wa.me/5511981350566?text=Oi! Quero fotos do Curso De Aperfeiçoamento - Ensino Teórico - Tomo IV, de Educação Mediunica
Curso De Decoração Casa Claudia	Abril	Abril	ND	ND	Português	Dura	130	27	21	511	Design	10	13.50	23.50	https://wa.me/5511981350566?text=Oi! Quero fotos do Curso De Decoração Casa Claudia, de Abril
Curso Prática De Língua Portuguesa Em Nível Superior	Taffari; Henriques; Sobrinho	Hemeron	1977	ND	Português	Mole	188	21	14	250	Didático	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Curso Prática De Língua Portuguesa Em Nível Superior, de Taffari; Henriques; Sobrinho
Da Democracia À Liberdade	Crimethinc	CRIMETHINC	ND	ND	Português	Mole	224	21	15	317	Ciências Políticas	45	10.65	55.65	https://wa.me/5511981350566?text=Oi! Quero fotos do Da Democracia À Liberdade, de Crimethinc
Dançando Com O Urso: Negociações Sindicais	João Rached	Primavera Editorial	2016	9788555780271	Português	Mole	112	21	14	194	Negócios	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do Dançando Com O Urso: Negociações Sindicais, de João Rached
Dancing Brasil	Fritz Utzeri	Record	2001	9788501061249	Português	Mole	334	21	14	480	Literatura Brasileira	10	12.95	22.95	https://wa.me/5511981350566?text=Oi! Quero fotos do Dancing Brasil, de Fritz Utzeri
Daqui E D'além Mar	Rachel Gutiérrez	Jaguatirica	2019	9788556621849	Português	Mole	166	21	14	240	Literatura Brasileira	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Daqui E D'além Mar, de Rachel Gutiérrez
Dark Flame	Alyson Noel	Macmillan	2010	9780330520614	Inglês	Mole	320	20	13	299	Literatura Estrangeira	10	10.00	20.00	https://wa.me/5511981350566?text=Oi! Quero fotos do Dark Flame, de Alyson Noel
Dc 2000 #20	John Ostrander; Tom Mandrake; Outros	Abril	ND	ND	Português	Mole	162	19	13	139	HQs	10	7.80	17.80	https://wa.me/5511981350566?text=Oi! Quero fotos do Dc 2000 #20, de John Ostrander; Tom Mandrake; Outros
De Bar Em Bar	Judith Rossner	Círculo do Livro	1975	ND	Português	Dura	262	20	13	334	Literatura Estrangeira	10	10.65	20.65	https://wa.me/5511981350566?text=Oi! Quero fotos do De Bar Em Bar, de Judith Rossner
De La Paix	François Visine	La Pensee Universelle	1972	ND	Francês	Mole	214	21	13	245	Filosofia	130	9.20	139.20	https://wa.me/5511981350566?text=Oi! Quero fotos do De La Paix, de François Visine
De Mãos Dadas	Marta D. Martins; Tania Ricci	Cuca Fresca	2008	9788587140227	Português	Mole	24	26	21	153	Infantil	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do De Mãos Dadas, de Marta D. Martins; Tania Ricci
De Música Ligeira	Aixa De La Cruz	Tinta Negra	2010	9788563114167	Português	Mole	208	23	16	330	Literatura Estrangeira	10	10.65	20.65	https://wa.me/5511981350566?text=Oi! Quero fotos do De Música Ligeira, de Aixa De La Cruz
Decamerão	Giovanni Boccaccio	Abril	1979	ND	Português	Dura	580	24	17	940	Literatura Estrangeira	10	18.70	28.70	https://wa.me/5511981350566?text=Oi! Quero fotos do Decamerão, de Giovanni Boccaccio
Declarando-Se Culpado	Scott Turow	Record	1994	9788501041074	Português	Mole	398	21	14	449	Literatura Estrangeira	10	12.20	22.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Declarando-Se Culpado, de Scott Turow
Demi Lovato: 365 Dias Do Ano	Demi Lovato	BestSeller	2014	9788576848295	Português	Mole	412	21	14	460	Autoajuda	10	12.95	22.95	https://wa.me/5511981350566?text=Oi! Quero fotos do Demi Lovato: 365 Dias Do Ano, de Demi Lovato
Depois De Ser Princesa	Jacqueline Pascarl	BestSeller	2010	9788576842231	Português	Mole	305	23	16	517	Biografias	10	13.50	23.50	https://wa.me/5511981350566?text=Oi! Quero fotos do Depois De Ser Princesa, de Jacqueline Pascarl
Depressão E Demência No Idoso: Tratamento Psicológico E Farmacológico	Orestes V. Forlenza; Osvaldo P. Almeida	Lemos	ND	ND	Português	Dura	200	25	18	527	Psicologia	10	13.50	23.50	https://wa.me/5511981350566?text=Oi! Quero fotos do Depressão E Demência No Idoso: Tratamento Psicológico E Farmacológico, de Orestes V. Forlenza; Osvaldo P. Almeida
Depressao.com	Michael J. Mandel	Record	2001	9788501060396	Português	Mole	224	21	14	304	Autoajuda	15	10.65	25.65	https://wa.me/5511981350566?text=Oi! Quero fotos do Depressao.com, de Michael J. Mandel
Descendentes 2	Eric Geron	Universo Dos Livros	2017	9788550301884	Português	Mole	206	23	16	262	Juvenil	10	10.00	20.00	https://wa.me/5511981350566?text=Oi! Quero fotos do Descendentes 2, de Eric Geron
Desirée	Annemarie Selinko	Abril	1974	ND	Português	Dura	638	20	14	776	Literatura Estrangeira	10	16.65	26.65	https://wa.me/5511981350566?text=Oi! Quero fotos do Desirée, de Annemarie Selinko
Desmontando O Boto	Renata Bueno	FTD	2010	9788532275202	Português	Dura	18	20	20	208	Infantil	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Desmontando O Boto, de Renata Bueno
Desmontando O Tatu	Renata Bueno	FTD	2010	9788532275196	Português	Dura	16	21	20	210	Infantil	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Desmontando O Tatu, de Renata Bueno
Deus E Os Homens	Voltaire	Martins Fontes	1995	9788533604230	Português	Mole	222	18	11	222	Filosofia	120	9.20	129.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Deus E Os Homens, de Voltaire
Deuses Americanos	Neil Gaiman	Intrínseca	2016	9788551000724	Português	Mole	576	23	16	807	Literatura Estrangeira	20	17.30	37.30	https://wa.me/5511981350566?text=Oi! Quero fotos do Deuses Americanos, de Neil Gaiman
Development And Democracy In The Southern Cone	Sidney Weintraub; Georges A. Fauriol	CSIS	2000	9780892063628	Inglês	Mole	96	23	15	210	Ciências Políticas	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Development And Democracy In The Southern Cone, de Sidney Weintraub; Georges A. Fauriol
Deveres	Espíritos Diversos	Amor e Caridade	ND	ND	Português	Mole	128	18	13	177	Religião	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do Deveres, de Espíritos Diversos
Devil's Gate	Clive Cussler	Berkley	2012	9780425246764	Inglês	Mole	504	19	11	300	Literatura Estrangeira	20	10.00	30.00	https://wa.me/5511981350566?text=Oi! Quero fotos do Devil's Gate, de Clive Cussler
Dez Amores	Malcolm Montgomery	Gente	2000	9788573123111	Português	Mole	160	21	14	220	Autoajuda	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Dez Amores, de Malcolm Montgomery
Diário De Um Magro (15 Dias Num Spa)	Mario Prata	Globo	1997	9788525019806	Português	Mole	160	21	14	230	Literatura Brasileira	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Diário De Um Magro (15 Dias Num Spa), de Mario Prata
Diário De Um Magro 2: A Volta Ao Spa	Mario Prata	Objetiva	2004	9788573025859	Português	Mole	148	21	14	250	Literatura Brasileira	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Diário De Um Magro 2: A Volta Ao Spa, de Mario Prata
Dicionário De Alternativas	Martin Parker; Valerie Fournier; Patrick Reedy	Octavo	2012	9788563739100	Português	Mole	380	23	16	635	Sociologia	10	14.85	24.85	https://wa.me/5511981350566?text=Oi! Quero fotos do Dicionário De Alternativas, de Martin Parker; Valerie Fournier; Patrick Reedy
Dicionário Economia E Direito. Alemão-Português/Português-Alemão	Edel Helga Kick Ehlers; Gunter Ehlers	Melhoramentos	1995	9788506017098	Português	Dura	562	24	17	1185	Dicionário	10	25.45	35.45	https://wa.me/5511981350566?text=Oi! Quero fotos do Dicionário Economia E Direito. Alemão-Português/Português-Alemão, de Edel Helga Kick Ehlers; Gunter Ehlers
Digital Fashion Illustration With Photoshop And Illustrator	Kevin Tallon	Anova Books	2008	9780713490589	Inglês	Mole	176	25	25	761	Moda	100	16.65	116.65	https://wa.me/5511981350566?text=Oi! Quero fotos do Digital Fashion Illustration With Photoshop And Illustrator, de Kevin Tallon
Dinosaur Days	Joyce Milton; Richard Roe	Randon House	2003	9780394870236	Inglês	Mole	48	23	15	110	Infantil	10	7.80	17.80	https://wa.me/5511981350566?text=Oi! Quero fotos do Dinosaur Days, de Joyce Milton; Richard Roe
Dinossauros Podem Ser Adestrados?	Henning Wiesner; Gunter Mattei; Walli Muller	Cosac & Naify	2013	9788540503007	Português	Mole	224	18	14	282	Infantil	10	10.00	20.00	https://wa.me/5511981350566?text=Oi! Quero fotos do Dinossauros Podem Ser Adestrados?, de Henning Wiesner; Gunter Mattei; Walli Muller
Direito Processual Constitucional Alemão	Leonardo Martins	Atlas	2011	9788522463107	Português	Mole	178	21	14	310	Ciências Políticas	15	10.65	25.65	https://wa.me/5511981350566?text=Oi! Quero fotos do Direito Processual Constitucional Alemão, de Leonardo Martins
Discurso Sobre O Método	René Descartes	Exposição do Livro	ND	ND	Português	Mole	88	21	14	129	Filosofia	10	7.80	17.80	https://wa.me/5511981350566?text=Oi! Quero fotos do Discurso Sobre O Método, de René Descartes
Diseño De Moda Creativo Con Illustrator	Kevin Tallon	Acanto	2009	9788495376930	Espanhol	Mole	174	25	25	755	Moda	80	16.65	96.65	https://wa.me/5511981350566?text=Oi! Quero fotos do Diseño De Moda Creativo Con Illustrator, de Kevin Tallon
Divas No Divã: O Segredo Das Mulheres Verdadeiramente Felizes	Chris Linnares	Gente	2002	9788573123678	Português	Mole	132	21	14	200	Autoajuda	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do Divas No Divã: O Segredo Das Mulheres Verdadeiramente Felizes, de Chris Linnares
Diversidade Cultural E Desenvolvimento Urbano	Monica Allende Serra	Iluminuras	2005	9788573212235	Português	Mole	282	23	16	434	Sociologia	10	12.20	22.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Diversidade Cultural E Desenvolvimento Urbano, de Monica Allende Serra
Do Conflito Ao Acordo Na Era Digital	Eckschmidt; Magalhães; Muhr	DOYEN	2016	9788568538029	Português	Mole	256	21	14	450	Negócios	10	12.20	22.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Do Conflito Ao Acordo Na Era Digital, de Eckschmidt; Magalhães; Muhr
Do Etéreo Ao Imanente: A Transcendência Como Fraternidade	José Renato Polli	In House	2012	9788578991623	Português	Mole	54	21	14	115	Religião	10	7.80	17.80	https://wa.me/5511981350566?text=Oi! Quero fotos do Do Etéreo Ao Imanente: A Transcendência Como Fraternidade, de José Renato Polli
Do Inferno #2	Alan Moore, Eddie Campbell	Via Lettera	2000	9788586932335	Português	Mole	132	26	17	309	HQs	20	10.65	30.65	https://wa.me/5511981350566?text=Oi! Quero fotos do Do Inferno #2, de Alan Moore, Eddie Campbell
Do Inferno #3	Alan Moore, Eddie Campbell	Via Lettera	2001	9788586932557	Português	Mole	160	26	17	364	HQs	20	11.45	31.45	https://wa.me/5511981350566?text=Oi! Quero fotos do Do Inferno #3, de Alan Moore, Eddie Campbell
Do Inferno #4	Alan Moore, Eddie Campbell	Via Lettera	2001	9788586932564	Português	Mole	118	26	17	283	HQs	20	10.00	30.00	https://wa.me/5511981350566?text=Oi! Quero fotos do Do Inferno #4, de Alan Moore, Eddie Campbell
Do Outro Lado	Wilson Frungilo Júnior	IDE	1984	ND	Português	Mole	160	19	13	182	Romance Espírita	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do Do Outro Lado, de Wilson Frungilo Júnior
Do Vírus Ao Caos	Benicio Targas; Outros	Incendiario	2023	9786500515046	Português	Mole	120	26	17	301	HQs	15	10.65	25.65	https://wa.me/5511981350566?text=Oi! Quero fotos do Do Vírus Ao Caos, de Benicio Targas; Outros
Does The Noise In My Head Bother You?	Steven Tyler	Harper USA	2011	9780061934698	Inglês	Mole	390	23	15	643	Biografias	30	14.85	44.85	https://wa.me/5511981350566?text=Oi! Quero fotos do Does The Noise In My Head Bother You?, de Steven Tyler
Doidinho	José Lins do Rego	José Olympio	1994	9788503003643	Português	Mole	142	21	14	215	Literatura Brasileira	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Doidinho, de José Lins do Rego
Dois Irmãos	Milton Hatoum	Companhia das Letras	2006	9788535908336	Português	Mole	200	18	12	192	Literatura Brasileira	15	8.55	23.55	https://wa.me/5511981350566?text=Oi! Quero fotos do Dois Irmãos, de Milton Hatoum
Dolores	Jacqueline Susann	Círculo do Livro	ND	ND	Português	Dura	142	17	12	222	Literatura Estrangeira	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do Dolores, de Jacqueline Susann
Dom Casmurro	Machado de Assis	Garnier	1992	ND	Português	Mole	236	21	14	287	Literatura Brasileira	10	10.00	20.00	https://wa.me/5511981350566?text=Oi! Quero fotos do Dom Casmurro, de Machado de Assis
Dom Quixote	Cervantes	Abril	1981	ND	Português	Dura	612	23	16	871	Literatura Estrangeira	30	18.10	48.10	https://wa.me/5511981350566?text=Oi! Quero fotos do Dom Quixote, de Cervantes
